['Product Name'],['Rating'],['Link']
American Tourister 32 Ltrs Grey Casual Backpack (AMT FIZZ SCH BAG 02 - GREY),4.1 out of 5 stars,/American-Tourister-AMT-SCH-02/dp/B07CJCGBVC
Skybags Brat Black 46 Cms Casual Backpack,4.1 out of 5 stars,/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD
"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port ( LEGEND ) and anti -theft back pocket Laptop bag ,office bag college bags",3.8 out of 5 stars,/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y
Wesley Milestone 2.0 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Blue and Black),3.8 out of 5 stars,/Kuber-Industries-Handcrafted-Embroidered-Handbag/dp/B082VDVJGM
Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),3.9 out of 5 stars,/Fiesto-Fashion-Womens-Handbag-FIESTO33_Blue/dp/B082Z33ZDS
Martucci Large 35 L Laptop Backpack Spacy Unisex Laptop/College/School/Travel Backpack with Rain Cover and Reflective Strip,4.3 out of 5 stars,/ADISA-women-girls-black-embroided/dp/B08RWBP3H2
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",4.2 out of 5 stars,/Lapis-Lupo-Flower-Embroidery-Handbag/dp/B07RXYSJHF
"Bennett Mystic 15.6 inch(39.6cm) Laptop Shoulder Messenger Sling Office Bag, Water Repellent Fabric for Men and Women (Blue)",4.3 out of 5 stars,/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF
AirCase 13 Inch/ 14 Inch/15.6 Inch Premium Vegan Leather Laptop Backpack for Men & Women,4.0 out of 5 stars,/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW
Half Moon 30L Waterproof 15.6 inch Laptop Office School College Bag Backpack for Men Women Boys & Girls,4.3 out of 5 stars,/Martucci-Backpack-College-Reflective-Airport/dp/B0B7DVC3TL
"Wesley Milestone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, Charcoal Black",4.1 out of 5 stars,/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8
